,Actual,Predicted,Difference,ABS Diff
5857,246.191,247.2761495,-1.09,1.09
5858,245.325,246.9362518,-1.61,1.61
5860,246.58,246.7247452,-0.14,0.14
5862,245.906,246.429579,-0.52,0.52
5885,243.249,245.8401394,-2.59,2.59
5889,245.912,245.9162955,0.00,0.00
5891,246.104,245.635812,0.47,0.47
5894,246.214,246.2998618,-0.09,0.09
5903,247.867,246.7608583,1.11,1.11
5906,247.053,246.9382387,0.11,0.11
5917,243.28,244.3161299,-1.04,1.04
5919,243.924,244.1720878,-0.25,0.25
5922,244.005,244.8874719,-0.88,0.88
5928,244.762,244.9765948,-0.21,0.21
5937,245.719,247.0434296,-1.32,1.32
5939,246.343,247.4586274,-1.12,1.12
5943,247.6,245.8078712,1.79,1.79
5947,247.172,246.5373302,0.63,0.63
5950,247.119,246.7854425,0.33,0.33
5956,246.277,246.3833554,-0.11,0.11
5964,243.811,244.7850505,-0.97,0.97
5967,244.096,244.443071,-0.35,0.35
5968,243.613,244.5819639,-0.97,0.97
5970,244.601,244.3536781,0.25,0.25
5972,244.257,244.8253808,-0.57,0.57
5973,243.812,244.7301708,-0.92,0.92
5978,243.361,246.4409233,-3.08,3.08
5987,245.509,245.2338229,0.28,0.28
5988,246.98,245.4487547,1.53,1.53
5989,247.315,245.7619561,1.55,1.55
5990,246.987,245.5916605,1.40,1.40
5993,248.24,245.5186005,2.72,2.72
5996,248.928,247.4118408,1.52,1.52
5997,248.801,247.14308,1.66,1.66
6000,248.443,248.0918846,0.35,0.35
6002,248.098,247.801411,0.30,0.30
6003,247.25,246.550717,0.70,0.70
6004,245.594,246.5953391,-1.00,1.00
6007,244.97,245.2818145,-0.31,0.31
6016,245.726,245.591838,0.13,0.13
6017,245.805,245.3094717,0.50,0.50
6018,245.418,245.1313328,0.29,0.29
6023,244.948,244.5609849,0.39,0.39
6028,244.182,244.9431414,-0.76,0.76
6031,245.222,245.7301251,-0.51,0.51
6037,247.412,246.8544515,0.56,0.56
6038,247.225,246.4456341,0.78,0.78
6042,247.698,246.3719519,1.33,1.33
6048,247.64,246.3605577,1.28,1.28
6049,246.666,246.0708987,0.60,0.60
6059,245.341,244.5735025,0.77,0.77
6065,244.119,244.4080084,-0.29,0.29
6070,244.748,244.3912583,0.36,0.36
6073,243.941,244.6538755,-0.71,0.71
6079,244.668,246.3583554,-1.69,1.69
6086,247.503,246.592514,0.91,0.91
6087,247.993,246.7569419,1.24,1.24
6091,247.628,247.056513,0.57,0.57
6104,245.044,244.8409668,0.20,0.20
6105,243.901,244.64856,-0.75,0.75
6110,243.375,244.7506581,-1.38,1.38
6120,242.987,244.6334199,-1.65,1.65
6129,245.747,245.9594753,-0.21,0.21
6142,247.876,247.0716428,0.80,0.80
6148,245.358,246.1005435,-0.74,0.74
6155,243.642,244.5407919,-0.90,0.90
6156,244.138,244.7368493,-0.60,0.60
6160,244.36,244.5643687,-0.20,0.20
6165,243.849,244.2256426,-0.38,0.38
6171,242.024,245.8779468,-3.85,3.85
6172,242.423,246.9041225,-4.48,4.48
6174,242.992,246.665895,-3.67,3.67
6187,246.28,246.7200946,-0.44,0.44
6189,246.752,246.0614816,0.69,0.69
6191,246.808,246.0886706,0.72,0.72
6210,244.858,244.9075293,-0.05,0.05
6215,243.558,244.6044264,-1.05,1.05
6223,245.587,246.1832673,-0.60,0.60
6229,247.132,246.2939466,0.84,0.84
6231,246.885,246.0782718,0.81,0.81
6234,246.361,246.3565228,0.00,0.00
6241,245.851,246.6094472,-0.76,0.76
6243,245.99,246.6052591,-0.62,0.62
6244,245.423,246.5894722,-1.17,1.17
6245,245.613,246.437795,-0.82,0.82
6248,243.626,245.0656054,-1.44,1.44
6253,244.259,244.9765113,-0.72,0.72
6258,245.83,245.1517516,0.68,0.68
6260,245.469,245.0811615,0.39,0.39
6268,245.236,246.4884089,-1.25,1.25
6269,244.89,247.007437,-2.12,2.12
6270,244.621,246.5571511,-1.94,1.94
6275,247.562,247.1401629,0.42,0.42
6279,247.249,246.9914292,0.26,0.26
6283,248.247,247.0352206,1.21,1.21
6289,247.99,246.9436834,1.05,1.05
6291,245.669,246.3938078,-0.72,0.72
6293,247.255,247.0920262,0.16,0.16
6297,246.161,244.7966259,1.36,1.36
6299,243.748,244.6566979,-0.91,0.91
6304,244.493,244.7596518,-0.27,0.27
6313,245.321,245.3490574,-0.03,0.03
6314,243.915,245.1150663,-1.20,1.20
6317,246.325,246.1874332,0.14,0.14
6321,247.175,246.5866172,0.59,0.59
6322,247.555,246.2816126,1.27,1.27
6328,247.746,246.5321093,1.21,1.21
6336,248.111,246.8944417,1.22,1.22
6337,247.006,247.2104336,-0.20,0.20
6342,245.39,246.8365186,-1.45,1.45
6345,244.375,245.5103792,-1.14,1.14
6348,244.407,244.6208397,-0.21,0.21
6351,244.538,244.8848289,-0.35,0.35
6352,244.279,244.7479702,-0.47,0.47
6356,245.987,245.1469614,0.84,0.84
6359,245.026,245.3437555,-0.32,0.32
6360,244.618,245.1739229,-0.56,0.56
6363,243.625,246.1863046,-2.56,2.56
6370,247.391,247.0256084,0.37,0.37
6372,246.437,246.3108524,0.13,0.13
6384,245.752,246.7091485,-0.96,0.96
6395,245.472,244.5404473,0.93,0.93
6398,243.333,244.066611,-0.73,0.73
6400,243.738,244.3744443,-0.64,0.64
6401,244.328,244.8021996,-0.47,0.47
6411,243.377,244.2418414,-0.86,0.86
6417,245.272,244.5270205,0.74,0.74
6422,247.736,246.2205924,1.52,1.52
6427,247.95,247.7347023,0.22,0.22
6428,248.137,247.9948563,0.14,0.14
6430,247.889,247.9553545,-0.07,0.07
6442,244.478,244.8272062,-0.35,0.35
6448,245.905,245.3652754,0.54,0.54
6449,245.946,245.3206171,0.63,0.63
6453,244.782,245.2925415,-0.51,0.51
6455,243.46,244.2253139,-0.77,0.77
6461,244.951,246.0560601,-1.11,1.11
6465,244.976,246.3064308,-1.33,1.33
6466,244.952,246.3823731,-1.43,1.43
6469,246.708,247.0819126,-0.37,0.37
6474,247.498,247.1980032,0.30,0.30
6482,245.535,246.6012046,-1.07,1.07
6497,244.493,244.3642534,0.13,0.13
6505,243.618,245.618377,-2.00,2.00
6507,243.157,245.2880709,-2.13,2.13
6514,246.579,246.2998844,0.28,0.28
6522,247.913,247.1142751,0.80,0.80
6539,243.792,245.1237495,-1.33,1.33
6544,245.739,244.5132408,1.23,1.23
6546,245.167,244.381731,0.79,0.79
6551,244.318,245.2636659,-0.95,0.95
6556,243.954,246.0945696,-2.14,2.14
6558,245.75,247.621834,-1.87,1.87
6561,245.796,246.7309401,-0.93,0.93
6563,247.092,247.3288654,-0.24,0.24
6570,247.027,247.3792785,-0.35,0.35
6583,247.026,246.6355189,0.39,0.39
6586,245.211,245.4670872,-0.26,0.26
6587,246.023,245.5801648,0.44,0.44
6588,245.606,244.7618299,0.84,0.84
6590,246.064,245.3281738,0.74,0.74
6602,243.331,245.5955018,-2.26,2.26
6607,246.228,247.0920845,-0.86,0.86
6608,246.435,246.8850039,-0.45,0.45
6609,247.167,246.9278358,0.24,0.24
6610,246.294,246.9090371,-0.62,0.62
6612,245.981,247.2535157,-1.27,1.27
6617,248.012,247.6683806,0.34,0.34
6626,247.725,247.3737915,0.35,0.35
6628,246.528,247.4270589,-0.90,0.90
6629,246.446,246.6425455,-0.20,0.20
6632,245.559,246.1442285,-0.59,0.59
6633,245.67,245.6597984,0.01,0.01
6637,245.149,245.0546088,0.09,0.09
6642,243.86,244.7567013,-0.90,0.90
6651,243.112,245.9167365,-2.80,2.80
6652,243.081,247.1510275,-4.07,4.07
6653,244.371,246.6523127,-2.28,2.28
6660,246.471,247.3657535,-0.89,0.89
6663,246.688,247.5654971,-0.88,0.88
6669,248.072,247.5452308,0.53,0.53
6672,249.038,247.6018549,1.44,1.44
6673,249.134,247.3930252,1.74,1.74
6681,244.255,244.4694958,-0.21,0.21
6685,245.019,244.7118151,0.31,0.31
6687,245.311,244.9384998,0.37,0.37
6690,245.435,244.7231519,0.71,0.71
6710,247.414,247.4556131,-0.04,0.04
6717,247.791,246.3685873,1.42,1.42
6720,246.674,247.0724188,-0.40,0.40
6721,246.495,247.2113532,-0.72,0.72
6723,245.799,246.6610287,-0.86,0.86
6734,244.255,244.7904276,-0.54,0.54
6752,244.555,245.5303662,-0.98,0.98
6753,245.002,245.6627717,-0.66,0.66
6769,248.451,246.6688386,1.78,1.78
6773,246.662,246.2040352,0.46,0.46
6786,242.775,244.3141435,-1.54,1.54
6791,243.468,245.4819018,-2.01,2.01
6792,242.61,245.4298833,-2.82,2.82
6794,242.479,245.8740132,-3.40,3.40
6803,245.575,245.1356979,0.44,0.44
6808,246.872,246.4267079,0.45,0.45
6811,247.603,246.5149369,1.09,1.09
6817,248.08,247.1400159,0.94,0.94
6827,244.511,244.3731699,0.14,0.14
6841,244.442,244.9310121,-0.49,0.49
6847,244.285,245.1541494,-0.87,0.87
6856,248.131,246.1394376,1.99,1.99
6857,246.735,246.1394376,0.60,0.60
6859,246.193,246.7733985,-0.58,0.58
6869,246.31,246.2097989,0.10,0.10
6871,245.597,244.9187737,0.68,0.68
6873,243.305,244.3019749,-1.00,1.00
6879,243,244.4198115,-1.42,1.42
6883,243.418,244.2687199,-0.85,0.85
6885,243.678,244.3827855,-0.70,0.70
6890,243.722,243.9743069,-0.25,0.25
6895,244.446,244.3163067,0.13,0.13
6904,246.625,246.0886453,0.54,0.54
6906,246.796,246.196677,0.60,0.60
6908,247.146,246.5520274,0.59,0.59
6912,247.424,246.5016924,0.92,0.92
6923,244.313,245.0853605,-0.77,0.77
6924,243.986,244.7119741,-0.73,0.73
6925,243.783,244.6623762,-0.88,0.88
6929,244.709,245.4729113,-0.76,0.76
6945,245.636,246.7500396,-1.11,1.11
6949,245.796,246.0447805,-0.25,0.25
6954,245.9,246.4765882,-0.58,0.58
6961,247.606,246.8906754,0.72,0.72
6966,245.956,245.8018806,0.15,0.15
6977,243.54,245.5108071,-1.97,1.97
6991,244.892,245.8535394,-0.96,0.96
6997,246.456,245.3685332,1.09,1.09
7000,247.299,245.0761096,2.22,2.22
7006,246.33,246.1222924,0.21,0.21
7010,246.713,245.0617634,1.65,1.65
7011,244.759,245.4710056,-0.71,0.71
7014,245.98,244.820545,1.16,1.16
7019,243.081,243.617281,-0.54,0.54
7020,244.468,243.7338798,0.73,0.73
7027,243.844,244.1978817,-0.35,0.35
7033,242.585,244.1890832,-1.60,1.60
7036,242.663,243.298855,-0.64,0.64
7042,245.543,245.1450162,0.40,0.40
7046,247.226,246.1788718,1.05,1.05
7067,244.135,244.6654687,-0.53,0.53
7072,244.541,245.1267784,-0.59,0.59
7077,244.321,244.4972557,-0.18,0.18
7080,243.167,243.4132114,-0.25,0.25
7085,243.209,244.1371378,-0.93,0.93
7088,244.795,245.1383071,-0.34,0.34
7089,244.845,245.5003396,-0.66,0.66
7091,244.434,245.3952129,-0.96,0.96
7096,246.232,246.3088758,-0.08,0.08
7102,246.162,246.5958284,-0.43,0.43
7108,245.981,246.6504495,-0.67,0.67
7110,245.164,245.6475245,-0.48,0.48
7111,246.548,244.4819943,2.07,2.07
7112,245.872,245.0099764,0.86,0.86
7113,245.265,244.7107715,0.55,0.55
7116,243.378,244.4618231,-1.08,1.08
7128,243.151,244.6651349,-1.51,1.51
7131,241.507,243.9943668,-2.49,2.49
7138,243.809,244.2941953,-0.49,0.49
7154,247.493,246.317132,1.18,1.18
7158,245.262,245.0956833,0.17,0.17
