,Actual,Predicted,Difference,ABS Diff
1087,245.984,245.6208752,0.36,0.36
1091,245.155,246.393867,-1.24,1.24
1111,246.34,245.4899123,0.85,0.85
1114,244.671,245.1249368,-0.45,0.45
1124,243.742,244.4033463,-0.66,0.66
1131,244.71,244.3015209,0.41,0.41
1132,244.442,245.0852441,-0.64,0.64
1141,246.782,246.7386288,0.04,0.04
1142,246.681,246.8719345,-0.19,0.19
1149,247.702,247.2952632,0.41,0.41
1156,246.114,245.1909312,0.92,0.92
1162,244.894,245.0204854,-0.13,0.13
1165,246.119,244.4960579,1.62,1.62
1166,244.369,244.3770915,-0.01,0.01
1169,243.345,244.4085267,-1.06,1.06
1170,244.056,244.6245451,-0.57,0.57
1175,244.068,244.8164187,-0.75,0.75
1179,244.683,245.3727604,-0.69,0.69
1182,246.805,245.8700534,0.93,0.93
1185,245.854,245.8878398,-0.03,0.03
1189,246.088,246.6743089,-0.59,0.59
1190,247.326,246.6791519,0.65,0.65
1212,243.066,244.9094038,-1.84,1.84
1217,245.722,245.2130074,0.51,0.51
1225,243.868,245.3292582,-1.46,1.46
1226,243.666,245.2449612,-1.58,1.58
1229,244.2,245.1096379,-0.91,0.91
1230,246.303,245.6215039,0.68,0.68
1231,247.215,245.1932412,2.02,2.02
1234,244.437,246.1805132,-1.74,1.74
1246,247.442,247.7056613,-0.26,0.26
1257,246.012,245.8029997,0.21,0.21
1258,245.406,245.2222375,0.18,0.18
1260,244.431,244.8892328,-0.46,0.46
1262,244.433,244.9559776,-0.52,0.52
1265,243.825,244.7447608,-0.92,0.92
1272,245.391,245.4153663,-0.02,0.02
1278,246.918,245.8878548,1.03,1.03
1279,247.169,246.0375928,1.13,1.13
1287,247.815,246.8608621,0.95,0.95
1292,247.959,247.1461983,0.81,0.81
1297,247.908,247.6726207,0.24,0.24
1299,246.867,246.7846562,0.08,0.08
1309,243.903,245.1614695,-1.26,1.26
1313,244.488,245.1843709,-0.70,0.70
1318,244.884,245.4190165,-0.54,0.54
1324,246.737,245.2481053,1.49,1.49
1329,246.059,245.6741711,0.38,0.38
1335,248.69,247.2638588,1.43,1.43
1337,248.309,247.3341468,0.97,0.97
1341,248.156,247.4213195,0.73,0.73
1342,248.357,247.5205166,0.84,0.84
1347,246.665,247.0068785,-0.34,0.34
1348,245.675,246.5162618,-0.84,0.84
1375,245.335,245.1674325,0.17,0.17
1388,247.907,247.1283622,0.78,0.78
1390,249.053,247.5869411,1.47,1.47
1404,244.976,244.8663503,0.11,0.11
1412,246.599,245.4335727,1.17,1.17
1416,246.166,245.3041237,0.86,0.86
1418,246.484,245.0196818,1.46,1.46
1420,245.213,245.3152832,-0.10,0.10
1424,246.528,246.0784346,0.45,0.45
1425,244.705,245.6648197,-0.96,0.96
1426,245.965,244.8558767,1.11,1.11
1438,248.031,247.5949175,0.44,0.44
1439,247.955,247.1043298,0.85,0.85
1443,246.457,247.542544,-1.09,1.09
1451,244.014,245.4923898,-1.48,1.48
1455,246.676,245.4170929,1.26,1.26
1462,245.281,244.9008793,0.38,0.38
1469,244.883,245.740157,-0.86,0.86
1477,247.486,247.1128525,0.37,0.37
1490,247.395,247.310182,0.08,0.08
1501,244.111,245.8600242,-1.75,1.75
1503,245.988,245.6633428,0.32,0.32
1519,246.516,245.8622809,0.65,0.65
1520,245.505,245.423319,0.08,0.08
1526,246.837,246.934282,-0.10,0.10
1528,246.985,247.1473027,-0.16,0.16
1529,248.23,247.1052449,1.12,1.12
1530,248.718,247.3541147,1.36,1.36
1542,246.973,246.1003888,0.87,0.87
1550,246.1,244.9645312,1.14,1.14
1551,246.24,244.8587052,1.38,1.38
1562,245.431,244.7878162,0.64,0.64
1564,245.005,244.8535938,0.15,0.15
1565,244.279,244.6387248,-0.36,0.36
1567,245.058,244.8238622,0.23,0.23
1569,245.407,245.1865014,0.22,0.22
1573,247.021,246.3535242,0.67,0.67
1575,246.431,246.7922819,-0.36,0.36
1586,249.006,248.1367018,0.87,0.87
1588,249.084,247.2466672,1.84,1.84
1596,246.118,245.3613694,0.76,0.76
1604,244.768,244.8663826,-0.10,0.10
1615,246.508,245.7052912,0.80,0.80
